Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Asia,Afghanistan,1990,48.9,women,20.7,124,4.55,194,107,406,6067.694,6.751312772
Europe,Albania,1990,69.1,women,25.1,131,4.99,91,75.2,96.5,1603.313,0.509008534
Africa,Algeria,1990,65.2,women,24.7,131,4.95,181,140,304,12722.507,2.460521342
Africa,Angola,1990,39.6,women,20.9,130,4.66,127,165,200,5911.638,3.464691174
Americas,Antigua and Barbuda,1990,68.7,women,25.7,126,5.01,1.42,1.57,2.67,32.219,1.480492877
Americas,Argentina,1990,68.1,women,24.9,122,5.26,1600,685,1640,16733.715,1.447365394
Asia,Armenia,1990,64.9,women,26.2,135,5.15,141,117,224,1823.352,-0.590834902
Oceania,Australia,1990,73.9,women,24.9,126,5.6,1870,114,776,8505.517,1.39956219
Europe,Austria,1990,72.1,women,24.3,130,5.65,883,207,1110,4029.283,0.471845735
Asia,Azerbaijan,1990,60.7,women,26.7,131,5.11,194,172,464,3701.311,1.629719848
Americas,Bahamas,1990,67.3,women,27.2,129,5.36,6.18,4.36,8.44,129.093,1.890884866
Asia,Bahrain,1990,71.4,women,26.3,136,5.25,12.8,2.98,6.88,209.759,2.647800571
Asia,Bangladesh,1990,58.1,women,18.8,123,4.47,2240,406,2310,49955.818,2.392488098
Americas,Barbados,1990,69,women,27.5,128,5.11,7.82,8.69,18.4,135.394,0.324238888
Europe,Belarus,1990,65.4,women,26.1,133,5.41,521,117,1770,5390.324,0.07481925
Europe,Belgium,1990,72.5,women,25,128,5.8,1020,244,1010,5110.675,0.316318295
Americas,Belize,1990,69.1,women,27,121,4.86,2.49,4.32,4.67,92.982,1.921877353
Africa,Benin,1990,51.7,women,21.9,128,4.47,43.1,144,98.8,2554.949,3.302101138
Asia,Bhutan,1990,52.6,women,21,123,4.47,4.46,2.35,11,257.99,0.773673398
Europe,Bosnia and Herzegovina,1990,67.4,women,25.4,133,4.94,262,78.9,205,2252.932,-1.980619033
Africa,Botswana,1990,59.3,women,24.4,132,4.76,24.2,12.6,14.7,671.468,2.992249817
Americas,Brazil,1990,61.7,women,24.6,131,4.85,4120,1980,4340,74925.448,1.806428972
Europe,Bulgaria,1990,68,women,25.7,133,5.34,488,319,843,4484.014,-0.711393854
Africa,Burkina Faso,1990,48.3,women,20.2,127,4.3,57,255,230,4505.343,2.675556556
Africa,Burundi,1990,46.3,women,20.1,129,4.3,40.4,103,141,2774.306,2.319102507
Asia,Cambodia,1990,51.2,women,20.1,115,4.37,215,97.6,307,4640.917,3.351126512
Africa,Cameroon,1990,50.8,women,22.7,126,4.6,145,404,254,5923.729,3.010924369
Americas,Canada,1990,74.1,women,25.1,124,5.47,4870,283,1720,13884.674,1.296645496
Africa,Central African Republic,1990,46.6,women,20.5,129,4.5,42.3,58.9,85.8,1424.484,2.539024657
Africa,Chad,1990,45.8,women,19.9,125,4.36,44.3,154,119,3005.552,3.209260728
Americas,Chile,1990,70.6,women,25.2,128,5.11,501,240,1010,6754.675,1.643350716
Asia,China,1990,67.7,women,22.1,123,4.25,79400,74100,107000,573024.206,1.36036173
Americas,Colombia,1990,64.4,women,24.7,125,5,853,607,1810,16787.263,2.039885835
Africa,Comoros,1990,55.1,women,21.5,129,4.53,2.45,5.47,4.95,205.212,2.942810362
Americas,Costa Rica,1990,73.1,women,24.6,123,4.86,53.8,48.7,206,1547.967,2.682033919
Europe,Croatia,1990,68.6,women,25,134,5.34,445,92.5,629,2460.555,-0.335818545
Americas,Cuba,1990,72.8,women,25,126,4.98,860,300,263,5289.671,0.727285308
Asia,Cyprus,1990,74.5,women,24.7,128,5.43,19.6,6.34,20.9,377.985,2.196648015
Europe,Denmark,1990,72.1,women,23.9,126,5.71,1220,114,354,2605.304,0.240202295
Africa,Djibouti,1990,55.1,women,22.9,130,4.91,2.19,6.47,4.64,293.434,2.789724435
Americas,Dominican Republic,1990,65.5,women,24,128,4.61,133,86.4,102,3544.173,1.955350374
Americas,Ecuador,1990,66.6,women,25.6,126,4.9,134,199,622,5087.226,2.371842729
Africa,Egypt,1990,62.2,women,27.2,125,4.78,595,1030,808,27927.902,2.262386197
Americas,El Salvador,1990,59.3,women,24.9,121,4.71,74.6,71.5,196,2699.1,1.453706791
Africa,Equatorial Guinea,1990,46.7,women,20.9,131,4.59,5.86,8.54,11.3,211.168,2.98577436
Africa,Eritrea,1990,48,women,19.4,121,4.26,14.2,37.2,45.8,1129.111,0.40810868
Europe,Estonia,1990,64.3,women,25.3,134,5.58,124,26.6,259,833.286,-0.973495295
Africa,Ethiopia,1990,45.6,women,19.3,120,4.29,301,758,997,24007.485,3.589068159
Oceania,Fiji,1990,63.6,women,25.5,125,4.85,7.67,8.91,9.08,358.487,0.902682664
Europe,Finland,1990,71.2,women,25.2,134,5.81,484,115,579,2571.583,0.398509401
Europe,France,1990,72.5,women,24.4,128,5.72,3050,994,3980,29089.912,0.461001738
Africa,Gabon,1990,59.7,women,23,136,5.11,21.1,31.6,24.6,483.926,2.680161843
Africa,Gambia,1990,51,women,21.5,128,4.47,4.71,34,5.93,478.775,3.897446609
Asia,Georgia,1990,66.3,women,26.1,134,5.19,224,150,393,2838.268,-0.666286623
Europe,Germany,1990,72.1,women,25.1,133,5.83,8750,1580,12100,40908.422,0.427266542
Africa,Ghana,1990,55.7,women,21.7,128,4.41,79.6,350,264,7335.022,2.898314415
Europe,Greece,1990,73.7,women,24.4,128,5.29,847,735,781,5155.977,0.840868763
Americas,Grenada,1990,66.3,women,25.2,125,4.79,2.83,3.07,4.51,48.82,-0.043015158
Americas,Guatemala,1990,59.5,women,24.2,121,4.64,114,166,434,4660.637,2.50879869
Africa,Guinea,1990,49,women,21,130,4.37,45.8,246,124,3303.336,2.826415478
Africa,Guinea-Bissau,1990,46.9,women,21.4,128,4.35,9.87,36.1,33.1,504.011,2.256696778
Americas,Guyana,1990,60,women,24.3,122,4.5,8.84,11.4,17.4,376.574,0.361416348
Americas,Haiti,1990,53.1,women,21.5,124,4.49,205,118,421,3576.596,1.986497776
Americas,Honduras,1990,64.5,women,24.3,123,4.63,57.2,76.7,204,2494.078,2.889244041
Europe,Hungary,1990,65.1,women,25.5,133,5.29,1430,384,1120,5393.366,-0.043627671
Europe,Iceland,1990,75.7,women,24.9,125,5.99,37.5,2.18,17.7,126.987,1.027664249
Asia,India,1990,57.6,women,20.6,124,4.54,7370,3570,30200,420020.42,2.036956441
Asia,Indonesia,1990,61.9,women,21.1,125,4.54,1900,1940,4850,90317.033,1.785424019
Asia,Iraq,1990,62.8,women,27.1,129,4.99,217,137,164,8633.975,2.714659239
Europe,Ireland,1990,72.1,women,25.2,128,5.6,460,39.7,210,1763.962,0.262874144
Asia,Israel,1990,74.7,women,25.4,128,5.63,311,63,205,2228.294,3.359341272
Europe,Italy,1990,73.6,women,24.9,131,5.38,5640,2740,8900,29315.604,0.092278501
Americas,Jamaica,1990,69.9,women,25.4,126,4.81,66.8,41.4,105,1225.843,0.837219774
Asia,Japan,1990,75.9,women,21.6,128,5.12,13700,8500,36700,63147.967,0.366529614
Asia,Jordan,1990,68.6,women,28.6,126,5.26,30,13.3,33.3,1697.858,5.498693059
Asia,Kazakhstan,1990,61.8,women,25.7,132,5.23,919,485,1660,8432.202,-0.077725842
Africa,Kenya,1990,55.2,women,21.7,125,4.53,142,155,444,11904.523,3.387897188
Oceania,Kiribati,1990,57.6,women,27.3,119,4.57,0.96,1.49,0.82,36.582,1.757695041
Asia,Kuwait,1990,71.3,women,28.7,131,5.46,19,6.9,10.3,904.753,-3.428891642
Europe,Latvia,1990,63.7,women,25.4,134,5.54,202,42.1,424,1423.015,-0.491702477
Asia,Lebanon,1990,68.7,women,25.3,131,5.02,82.3,28.3,88,1419.64,4.091671128
Africa,Lesotho,1990,57.3,women,25.6,127,4.37,23.5,20.3,28.7,926.21,1.257058335
Africa,Liberia,1990,45.1,women,22,129,4.45,13.5,74.7,46.1,1044.075,-1.721906951
Africa,Libya,1990,67,women,27.5,134,5.13,33.2,34.7,36.2,2097.728,2.604961177
Europe,Lithuania,1990,65.6,women,26.3,135,5.8,215,45.4,487,1947.083,0.068974974
Europe,Luxembourg,1990,71.5,women,24.8,130,5.9,41.9,11.8,42.2,194.98,1.09806134
Africa,Madagascar,1990,49.8,women,20.5,128,4.49,62.2,141,142,5807.517,3.008617969
Africa,Malawi,1990,44.6,women,21.2,127,4.37,43.3,71,49.9,4742.117,2.087358874
Asia,Malaysia,1990,68.9,women,23.3,125,4.91,553,206,336,8857.746,2.663849246
Asia,Maldives,1990,61.8,women,23.6,122,4.65,1.34,1,2.6,108.761,3.278748816
Africa,Mali,1990,45,women,20.2,125,4.36,71.3,493,309,4278.783,2.222454375
Europe,Malta,1990,74.3,women,26.1,131,5.68,13.3,3.88,18.2,183.756,0.780382681
Africa,Mauritania,1990,57.1,women,23.9,128,4.62,21.1,62.1,42.8,1024.376,2.678411052
Africa,Mauritius,1990,65.7,women,24.3,131,4.94,20.7,10.1,33.6,529.326,1.149386201
Americas,Mexico,1990,67.9,women,26.2,126,4.87,1630,1610,2250,42402.745,1.970094153
Asia,Mongolia,1990,57.8,women,25,130,5.1,79.1,182,217,1105.887,1.506844732
Europe,Montenegro,1990,71.3,women,25.8,133,5.28,64.2,14.8,14.7,308.777,0.064123947
Africa,Morocco,1990,63.1,women,24.6,127,4.78,202,80.3,388,12431.573,1.85701359
Africa,Mozambique,1990,41.3,women,21.1,130,4.46,73.1,370,278,6782.356,2.830977908
Asia,Myanmar,1990,56.5,women,20.5,119,4.31,600,586,1670,21211.417,1.352540474
Africa,Namibia,1990,58.5,women,23.3,133,4.73,10.2,4.11,8.79,742.85,2.971124722
Asia,Nepal,1990,53.6,women,19.2,122,4.44,279,86.4,540,9509.543,2.348251646
Europe,Netherlands,1990,73.8,women,24.3,128,5.64,1410,147,1300,7563.336,0.64316857
Oceania,New Zealand,1990,72.4,women,25.3,125,5.86,443,28.2,210,1725.635,1.423997543
Americas,Nicaragua,1990,61.3,women,25.4,124,4.71,31.8,58,82,2103.182,2.310926967
Africa,Niger,1990,42.8,women,20.6,130,4.33,53.8,192,135,4101.582,3.175457665
Africa,Nigeria,1990,44.7,women,22.3,132,4.3,643,2970,937,47315.567,2.561860878
Europe,Norway,1990,73.6,women,24.4,132,5.7,485,43.2,373,2147.362,0.52068538
Asia,Oman,1990,65.4,women,25.8,131,5.12,8.98,9.58,23.9,803.462,2.457739134
Asia,Pakistan,1990,59.4,women,22.4,125,4.67,834,915,1110,51827.158,2.987271654
Americas,Panama,1990,70.2,women,25.2,125,4.92,45.7,34.3,68,1221.972,2.156350555
Oceania,Papua New Guinea,1990,56.2,women,22.7,114,4.54,70,44,102,2267.409,2.402610204
Americas,Paraguay,1990,65.8,women,24.4,127,4.86,71.3,35.6,85,2084.025,2.61623541
Americas,Peru,1990,63.2,women,25.5,124,4.9,558,441,1190,11093.042,2.045994237
Asia,Philippines,1990,62.6,women,22,122,4.74,1330,267,780,30627.289,2.546062761
Europe,Poland,1990,66.5,women,25.6,133,5.33,3460,887,2540,19475.582,0.342562292
Europe,Portugal,1990,70.9,women,25.2,133,5.37,498,231,1490,5132.345,0.206065648
Asia,Qatar,1990,74.1,women,27.3,133,5.35,2.44,2.77,3.53,157.468,2.788503061
Europe,Romania,1990,66.3,women,25.3,133,5.25,1140,380,1310,11909.651,-0.097643499
Africa,Rwanda,1990,32.5,women,21,131,4.39,39.4,105,127,3693.696,-2.641121522
Oceania,Samoa,1990,61.8,women,29.3,123,4.66,1.33,0.93,2.43,77.816,0.792896063
Africa,Sao Tome and Principe,1990,60,women,22.6,132,4.53,1.7,0.49,3.78,60.327,2.262668457
Asia,Saudi Arabia,1990,67.5,women,27.3,131,5.23,128,227,107,7146.665,3.290191999
Africa,Senegal,1990,55.6,women,22.3,129,4.52,56.1,195,136,3780.19,3.086987691
Europe,Serbia,1990,68.7,women,26.1,135,5.07,718,254,405,4819.625,0.92204269
Africa,Seychelles,1990,66.5,women,25.7,131,5.3,1.58,0.4,1.89,35.366,1.258270655
Africa,Sierra Leone,1990,36.9,women,22.1,132,4.42,25.9,116,79.6,2186.548,0.627015734
Asia,Singapore,1990,73.9,women,23.5,127,4.95,220,71.7,151,1497.134,2.892593449
Europe,Slovenia,1990,69.1,women,26.3,134,5.39,144,35.5,213,1031.194,0.126649302
Oceania,Solomon Islands,1990,56.3,women,25.6,120,4.64,4.52,3.2,6.19,151.63,2.891248434
Africa,Somalia,1990,43.9,women,21.4,128,4.51,38.1,105,120,3594.693,0.738672259
Africa,South Africa,1990,58.5,women,27.4,132,4.75,1190,508,568,18514.6,2.627299537
Europe,Spain,1990,73.7,women,25.5,128,5.39,1650,1490,3850,19998.51,0.273045342
Asia,Sri Lanka,1990,66.3,women,21.8,123,4.56,183,69.5,305,8577.728,1.322436431
Africa,Sudan,1990,54,women,21.4,126,4.56,304,207,448,10044.406,3.685743089
Americas,Suriname,1990,64.2,women,25.5,126,4.84,10,8.35,8.47,199.219,1.946099519
Europe,Sweden,1990,74.8,women,24.6,129,5.78,973,262,703,4335.221,0.665018
Europe,Switzerland,1990,74.1,women,23.9,127,5.73,598,106,590,3405.339,0.971474499
Asia,Tajikistan,1990,59.8,women,24.4,130,4.97,109,68.8,281,2664.66,2.113477892
Asia,Thailand,1990,67.2,women,22.5,119,4.83,3530,2710,1130,28539.798,1.176143573
Asia,Timor-Leste,1990,46.9,women,20.3,119,4.37,10.7,5.72,17.2,365.133,2.982474879
Africa,Togo,1990,54.6,women,20.9,128,4.4,34.7,102,74.6,1912.57,2.41632986
Oceania,Tonga,1990,68.1,women,29.9,122,4.71,3.4,3.18,3.11,46.84,0.164389411
Americas,Trinidad and Tobago,1990,65.2,women,26.6,125,4.85,22.6,25.8,34.1,612.551,0.640599721
Africa,Tunisia,1990,66.8,women,25.8,130,4.71,73.5,29.6,123,4090.996,2.171867193
Asia,Turkey,1990,60.7,women,27,128,4.91,1580,530,2350,27291.494,1.733954176
Asia,Turkmenistan,1990,59.1,women,24.3,131,5.07,58.4,42.8,153,1873.505,2.801967435
Africa,Uganda,1990,42.8,women,20.9,129,4.33,99.4,267,226,8735.854,3.54950987
Europe,Ukraine,1990,65.1,women,26.3,134,5.41,4840,700,8700,27530.065,-0.084881747
Asia,United Arab Emirates,1990,70.6,women,27.9,129,5.47,7.65,6.36,12.5,630.117,5.36440058
Europe,United Kingdom,1990,72.8,women,25.2,132,5.85,13300,721,4840,29362.277,0.274648318
Americas,United States,1990,71.7,women,26.3,122,5.54,64900,3590,9920,128570.956,0.933820543
Americas,Uruguay,1990,68.9,women,24.2,127,5.16,182,26.6,253,1601.316,0.760999078
Asia,Uzbekistan,1990,63.4,women,24.6,125,4.93,455,226,870,10307.414,2.284889304
Oceania,Vanuatu,1990,61.8,women,24.9,128,4.69,2.51,1.37,2.7,71.194,2.934236031
Asia,Yemen,1990,56.3,women,24.5,125,4.68,145,93.8,289,5928.214,4.567210293
Africa,Zambia,1990,42.7,women,21.8,128,4.59,38.4,113,100,4031.146,2.668868853
Africa,Zimbabwe,1990,55,women,24.9,130,4.55,218,312,278,5241.466,2.470396641
Asia,Afghanistan,1991,49.6,women,20.7,124,4.53,204,114,430,6477.343,6.751312772
Europe,Albania,1991,69,women,25.1,131,4.97,94.8,78.2,98.3,1611.474,0.509008534
Africa,Algeria,1991,65.4,women,24.8,131,4.94,186,132,299,13035.547,2.460521342
Africa,Angola,1991,39.7,women,21,130,4.64,130,169,204,6116.458,3.464691174
Americas,Antigua and Barbuda,1991,68.9,women,25.8,126,5.01,1.48,1.58,2.65,32.696,1.480492877
Americas,Argentina,1991,68.3,women,25.1,121,5.24,1650,691,1630,16975.913,1.447365394
Asia,Armenia,1991,64.7,women,26.2,134,5.12,140,119,217,1812.579,-0.590834902
Oceania,Australia,1991,74.2,women,25,125,5.58,1950,121,780,8624.557,1.39956219
Europe,Austria,1991,72.3,women,24.3,130,5.63,907,213,1090,4048.295,0.471845735
Asia,Azerbaijan,1991,60.5,women,26.7,131,5.08,193,174,452,3761.632,1.629719848
Americas,Bahamas,1991,67.4,women,27.3,129,5.35,6.31,4.46,8.41,131.534,1.890884866
Asia,Bahrain,1991,71.7,women,26.4,136,5.24,12.8,3.2,7.16,215.313,2.647800571
Asia,Bangladesh,1991,58.7,women,18.8,123,4.47,2310,417,2220,51151.005,2.392488098
Americas,Barbados,1991,69.2,women,27.5,127,5.09,8.2,8.79,18.6,135.833,0.324238888
Europe,Belarus,1991,64.9,women,26.1,133,5.4,544,121,1810,5394.357,0.07481925
Europe,Belgium,1991,72.7,women,25,128,5.77,1050,249,986,5126.841,0.316318295
Americas,Belize,1991,68.8,women,27.1,121,4.84,2.64,4.51,4.73,94.769,1.921877353
Africa,Benin,1991,52.4,women,22,128,4.45,43.9,148,97.8,2639.316,3.302101138
Asia,Bhutan,1991,53.3,women,21.1,123,4.47,4.48,2.37,10.9,259.986,0.773673398
Europe,Bosnia and Herzegovina,1991,67,women,25.3,133,4.91,266,79.3,205,2208.31,-1.980619033
Africa,Botswana,1991,58.5,women,24.5,132,4.76,25,13,14.6,691.56,2.992249817
Americas,Brazil,1991,62,women,24.7,130,4.85,4280,2020,4360,76278.923,1.806428972
Europe,Bulgaria,1991,67.9,women,25.6,133,5.32,500,312,824,4452.115,-0.711393854
Africa,Burkina Faso,1991,48.2,women,20.3,127,4.28,58.1,260,227,4625.886,2.675556556
Africa,Burundi,1991,46.1,women,20.2,130,4.29,41.1,104,143,2838.645,2.319102507
Asia,Cambodia,1991,51.5,women,20.2,116,4.36,225,102,311,4796.44,3.351126512
Africa,Cameroon,1991,50.5,women,22.8,126,4.57,147,412,253,6102.088,3.010924369
Americas,Canada,1991,74.3,women,25.2,123,5.45,5150,298,1800,14064.709,1.296645496
Africa,Central African Republic,1991,46.3,women,20.6,129,4.49,43.1,59.9,85.9,1460.652,2.539024657
Africa,Chad,1991,45.9,women,20,125,4.35,45,158,118,3102.008,3.209260728
Americas,Chile,1991,71,women,25.3,128,5.11,510,247,977,6865.678,1.643350716
Asia,China,1991,67.8,women,22.1,123,4.25,81000,75700,108000,580819.408,1.36036173
Americas,Colombia,1991,64.5,women,24.8,125,5.01,905,618,1860,17129.704,2.039885835
Africa,Comoros,1991,55.6,women,21.6,129,4.51,2.51,5.57,5.03,211.251,2.942810362
Americas,Costa Rica,1991,73.3,women,24.7,123,4.86,54.8,51.2,211,1589.484,2.682033919
Europe,Croatia,1991,68.8,women,24.9,134,5.32,456,104,616,2452.292,-0.335818545
Americas,Cuba,1991,72.8,women,25.1,126,4.96,883,303,266,5328.142,0.727285308
Asia,Cyprus,1991,74.7,women,24.8,128,5.42,20.4,6.45,20.9,386.288,2.196648015
Europe,Denmark,1991,72.3,women,24,126,5.68,1260,116,346,2611.562,0.240202295
Africa,Djibouti,1991,55.3,women,22.9,130,4.88,2.24,6.72,4.82,301.62,2.789724435
Americas,Dominican Republic,1991,65.9,women,24.1,128,4.59,140,95.4,107,3613.474,1.955350374
Americas,Ecuador,1991,67,women,25.7,126,4.89,141,206,626,5207.887,2.371842729
Africa,Egypt,1991,62.6,women,27.3,125,4.77,608,1050,800,28559.739,2.262386197
Americas,El Salvador,1991,60.2,women,25.1,121,4.7,76.9,75.6,210,2738.337,1.453706791
Africa,Equatorial Guinea,1991,47.1,women,21,131,4.58,5.91,8.61,11.5,217.473,2.98577436
Africa,Eritrea,1991,48.4,women,19.5,121,4.25,14.3,37,45.5,1133.719,0.40810868
Europe,Estonia,1991,63.8,women,25.1,133,5.57,131,27.3,270,825.174,-0.973495295
Africa,Ethiopia,1991,46,women,19.3,120,4.28,308,775,1010,24869.13,3.589068159
Oceania,Fiji,1991,63.8,women,25.7,126,4.86,7.82,9.02,9.34,361.723,0.902682664
Europe,Finland,1991,71.5,women,25.3,134,5.77,482,117,558,2581.831,0.398509401
Europe,France,1991,72.8,women,24.4,128,5.7,3170,1020,3910,29224.017,0.461001738
Africa,Gabon,1991,59.7,women,23.1,136,5.09,21.5,31.9,24.3,496.896,2.680161843
Africa,Gambia,1991,51.3,women,21.7,128,4.45,4.82,36,6.12,497.435,3.897446609
Asia,Georgia,1991,66.2,women,26,134,5.15,220,146,382,2819.357,-0.666286623
Europe,Germany,1991,72.3,women,25.2,132,5.83,9270,1680,11900,41083.21,0.427266542
Africa,Ghana,1991,56.1,women,21.8,128,4.39,81.9,361,265,7547.614,2.898314415
Europe,Greece,1991,74.1,women,24.4,128,5.25,875,724,785,5199.332,0.840868763
Americas,Grenada,1991,66.4,women,25.3,125,4.78,2.88,3.07,4.45,48.799,-0.043015158
Americas,Guatemala,1991,59.9,women,24.3,121,4.62,121,176,454,4777.563,2.50879869
Africa,Guinea,1991,49.7,women,21.1,130,4.35,48,257,129,3396.702,2.826415478
Africa,Guinea-Bissau,1991,47.2,women,21.6,129,4.33,10,36.9,32.8,515.385,2.256696778
Americas,Guyana,1991,60.2,women,24.4,123,4.48,9.4,11.7,17.9,377.935,0.361416348
Americas,Haiti,1991,53.4,women,21.6,124,4.47,206,118,417,3647.645,1.986497776
Americas,Honduras,1991,64.9,women,24.5,123,4.62,59.8,78.9,204,2566.138,2.889244041
Europe,Hungary,1991,65,women,25.5,133,5.28,1510,388,1120,5391.013,-0.043627671
Europe,Iceland,1991,75.9,women,24.9,125,5.95,40.5,2.28,17.9,128.292,1.027664249
Asia,India,1991,58,women,20.6,124,4.53,7560,3680,30400,428576.053,2.036956441
Asia,Indonesia,1991,62.2,women,21.2,125,4.54,1950,2010,4840,91929.575,1.785424019
Asia,Iraq,1991,63.6,women,27,128,4.95,222,140,171,8868.358,2.714659239
Europe,Ireland,1991,72.3,women,25.3,128,5.58,473,40,215,1768.599,0.262874144
Asia,Israel,1991,75,women,25.5,128,5.61,324,65.1,220,2303.15,3.359341272
Europe,Italy,1991,73.8,women,24.9,130,5.37,5840,2820,8920,29342.656,0.092278501
Americas,Jamaica,1991,69.7,women,25.5,126,4.81,68.9,41.6,105,1236.106,0.837219774
Asia,Japan,1991,76.1,women,21.7,128,5.14,14600,9020,36900,63379.423,0.366529614
Asia,Jordan,1991,68.8,women,28.6,126,5.27,31.6,13.8,34.1,1791.218,5.498693059
Asia,Kazakhstan,1991,61.4,women,25.7,132,5.21,905,490,1600,8425.648,-0.077725842
Africa,Kenya,1991,54.5,women,21.8,125,4.53,147,159,454,12307.836,3.387897188
Oceania,Kiribati,1991,58,women,27.5,119,4.57,0.98,1.51,0.83,37.225,1.757695041
Asia,Kuwait,1991,71.5,women,28.7,130,5.45,18,7.26,9.29,873.73,-3.428891642
Europe,Latvia,1991,63,women,25.4,133,5.53,202,43.7,417,1416.018,-0.491702477
Asia,Lebanon,1991,69.1,women,25.4,131,5.01,84.1,28.8,87.4,1477.727,4.091671128
Africa,Lesotho,1991,57.5,women,25.7,128,4.35,24,20.6,28.5,937.853,1.257058335
Africa,Liberia,1991,45.4,women,22,129,4.42,12.8,73.8,45.4,1026.097,-1.721906951
Africa,Libya,1991,67.3,women,27.6,134,5.11,34.4,35.8,37.2,2152.373,2.604961177
Europe,Lithuania,1991,65.1,women,26.3,135,5.79,223,47.7,498,1948.426,0.068974974
Europe,Luxembourg,1991,71.8,women,24.9,129,5.88,43.5,12,41.6,197.121,1.09806134
Africa,Madagascar,1991,50.4,women,20.5,129,4.48,63.8,144,145,5982.243,3.008617969
Africa,Malawi,1991,44.6,women,21.2,127,4.36,44.6,72.5,51.1,4841.102,2.087358874
Asia,Malaysia,1991,69.2,women,23.4,125,4.92,565,212,335,9093.703,2.663849246
Asia,Maldives,1991,62.4,women,23.7,122,4.65,1.37,1.01,2.59,112.327,3.278748816
Africa,Mali,1991,45.3,women,20.4,125,4.34,69.7,479,316,4373.877,2.222454375
Europe,Malta,1991,74.5,women,26.2,131,5.64,13.5,3.9,18.4,185.19,0.780382681
Africa,Mauritania,1991,57.3,women,24,128,4.59,21.4,64.2,42.4,1051.813,2.678411052
Africa,Mauritius,1991,66,women,24.4,131,4.94,21.2,10.7,33,535.41,1.149386201
Americas,Mexico,1991,68.4,women,26.4,125,4.86,1670,1660,2270,43238.119,1.970094153
Asia,Mongolia,1991,58,women,25,130,5.08,82.5,185,223,1122.551,1.506844732
Europe,Montenegro,1991,71.3,women,25.8,133,5.27,64.9,15.1,15,308.975,0.064123947
Africa,Morocco,1991,63.6,women,24.7,127,4.78,210,83,396,12662.429,1.85701359
Africa,Mozambique,1991,41.6,women,21.2,130,4.46,74.9,377,281,6974.363,2.830977908
Asia,Myanmar,1991,56.9,women,20.5,119,4.3,610,601,1690,21498.31,1.352540474
Africa,Namibia,1991,58.6,women,23.4,132,4.71,10.4,4.23,8.93,764.921,2.971124722
Asia,Nepal,1991,54.4,women,19.3,123,4.43,283,88.7,549,9732.851,2.348251646
Europe,Netherlands,1991,74,women,24.4,128,5.62,1500,155,1330,7611.981,0.64316857
Oceania,New Zealand,1991,72.8,women,25.4,125,5.83,467,30.6,213,1750.208,1.423997543
Americas,Nicaragua,1991,62.1,women,25.5,124,4.68,32.6,60.2,86.8,2151.785,2.310926967
Africa,Niger,1991,43.4,women,20.7,130,4.31,55.3,199,136,4231.826,3.175457665
Africa,Nigeria,1991,44.6,women,22.4,132,4.27,641,3080,963,48527.726,2.561860878
Europe,Norway,1991,73.8,women,24.4,132,5.67,513,43.4,367,2158.543,0.52068538
Asia,Oman,1991,66,women,25.8,131,5.12,9.19,9.69,23.8,823.209,2.457739134
Asia,Pakistan,1991,59.7,women,22.4,125,4.67,875,948,1150,53375.376,2.987271654
Americas,Panama,1991,70.5,women,25.3,125,4.92,47.3,34.5,71.1,1248.322,2.156350555
Oceania,Papua New Guinea,1991,56.5,women,22.9,114,4.55,73.2,45.6,106,2321.886,2.402610204
Americas,Paraguay,1991,66,women,24.4,126,4.87,73.8,37.1,90,2138.548,2.61623541
Americas,Peru,1991,63.7,women,25.5,123,4.89,589,459,1230,11320.005,2.045994237
Asia,Philippines,1991,62.8,women,22.1,122,4.74,1390,332,776,31407.079,2.546062761
Europe,Poland,1991,66.6,women,25.6,133,5.32,3640,876,2540,19542.298,0.342562292
Europe,Portugal,1991,71,women,25.3,133,5.36,513,231,1480,5142.921,0.206065648
Asia,Qatar,1991,74.3,women,27.3,133,5.34,2.57,2.94,3.73,161.859,2.788503061
Europe,Romania,1991,66.2,women,25.2,132,5.23,1160,397,1290,11898.022,-0.097643499
Africa,Rwanda,1991,28.7,women,21.1,131,4.38,39.1,103,128,3596.141,-2.641121522
Oceania,Samoa,1991,62.3,women,29.5,123,4.65,1.35,0.95,2.46,78.433,0.792896063
Africa,Sao Tome and Principe,1991,60.2,women,22.7,132,4.5,1.74,0.51,3.91,61.692,2.262668457
Asia,Saudi Arabia,1991,67.8,women,27.4,130,5.22,132,235,112,7381.804,3.290191999
Africa,Senegal,1991,55.8,women,22.4,129,4.5,57.1,202,137,3896.884,3.086987691
Europe,Serbia,1991,68.7,women,26,134,5.07,745,261,416,4864.064,0.92204269
Africa,Seychelles,1991,66.3,women,25.9,131,5.31,1.63,0.45,1.82,35.811,1.258270655
Africa,Sierra Leone,1991,36.2,women,22.2,132,4.39,25.7,117,77.5,2200.258,0.627015734
Asia,Singapore,1991,74.3,women,23.5,127,4.88,224,72.9,149,1540.44,2.892593449
Europe,Slovenia,1991,69.4,women,26.2,134,5.38,151,35.9,218,1032.5,0.126649302
Oceania,Solomon Islands,1991,56.8,women,25.8,120,4.64,4.73,3.33,6.39,156.014,2.891248434
Africa,Somalia,1991,43.8,women,21.5,128,4.5,37.9,104,119,3621.246,0.738672259
Africa,South Africa,1991,58.6,women,27.5,132,4.71,1200,522,575,19001.034,2.627299537
